"city","city_slug","category","category_slug","listing_count","under_12","under_3","indexable"
"Tampa, FL","tampa-fl","Painting","painting","10","yes","no","yes"
"Tampa, FL","tampa-fl","Pool service","pool-service","12","no","no","yes"
"Tampa, FL","tampa-fl","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Tampa, FL","tampa-fl","Flooring","flooring","1","yes","yes","no"
"Tampa, FL","tampa-fl","Towing","towing","1","yes","yes","no"
"Tampa, FL","tampa-fl","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Tampa, FL","tampa-fl","Fence builders","fence-builders","12","no","no","yes"
"Tampa, FL","tampa-fl","Junk removal","junk-removal","1","yes","yes","no"
"Tampa, FL","tampa-fl","Water damage & mold remediation","water-damage-mold-remediation","10","yes","no","yes"
"Tampa, FL","tampa-fl","Concrete & driveways","concrete","12","no","no","yes"
"Tampa, FL","tampa-fl","Gutters","gutters","1","yes","yes","no"
"Tampa, FL","tampa-fl","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Tampa, FL","tampa-fl","Pressure washing","pressure-washing","10","yes","no","yes"
"Tampa, FL","tampa-fl","Septic services","septic-services","1","yes","yes","no"
"Tampa, FL","tampa-fl","Pool installation","pool-installation","12","no","no","yes"
"Tampa, FL","tampa-fl","Window tinting","window-tinting","12","no","no","yes"
"Tampa, FL","tampa-fl","Generator installation","generator-installation","10","yes","no","yes"
"Tampa, FL","tampa-fl","Insulation","insulation","12","no","no","yes"
"Tampa, FL","tampa-fl","Marine services","marine-services","12","no","no","yes"
"Tampa, FL","tampa-fl","Screen enclosures & pool cages","screen-enclosures-pool-cages","10","yes","no","yes"
"Tampa, FL","tampa-fl","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","10","yes","no","yes"
"Tampa, FL","tampa-fl","Trading card stores","trading-card-stores","8","yes","no","yes"
"Atlanta, GA","atlanta-ga","HVAC","hvac","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Plumbing","plumbing","11","yes","no","yes"
"Atlanta, GA","atlanta-ga","Auto mechanics","auto-mechanics","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Roofing","roofing","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Electrical","electrical","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Lawn care","lawn-care","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Pest control","pest-control","12","no","no","yes"
"Atlanta, GA","atlanta-ga","House cleaning","house-cleaning","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Landscaping","landscaping","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Tree service","tree-service","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Garage door repair","garage-door-repair","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Locksmith","locksmith","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Appliance repair","appliance-repair","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Movers","movers","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Handyman","handyman","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Painting","painting","11","yes","no","yes"
"Atlanta, GA","atlanta-ga","Pool service","pool-service","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Kitchen & bath remodeling","kitchen-bath-remodeling","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Flooring","flooring","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Towing","towing","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Fence builders","fence-builders","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Junk removal","junk-removal","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Water damage & mold remediation","water-damage-mold-remediation","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Concrete & driveways","concrete","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Gutters","gutters","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Pressure washing","pressure-washing","11","yes","no","yes"
"Atlanta, GA","atlanta-ga","Septic services","septic-services","1","yes","yes","no"
"Atlanta, GA","atlanta-ga","Pool installation","pool-installation","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Window tinting","window-tinting","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Generator installation","generator-installation","10","yes","no","yes"
"Atlanta, GA","atlanta-ga","Insulation","insulation","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Marine services","marine-services","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Screen enclosures & pool cages","screen-enclosures-pool-cages","12","no","no","yes"
"Atlanta, GA","atlanta-ga","Hurricane shutters & impact windows","hurricane-shutters-impact-windows","10","yes","no","yes"
"Atlanta, GA","atlanta-ga","Trading card stores","trading-card-stores","12","no","no","yes"
"Destin, FL","destin-fl","HVAC","hvac","1","yes","yes","no"
"Destin, FL","destin-fl","Plumbing","plumbing","1","yes","yes","no"
"Destin, FL","destin-fl","Auto mechanics","auto-mechanics","1","yes","yes","no"
"Destin, FL","destin-fl","Roofing","roofing","1","yes","yes","no"
"Destin, FL","destin-fl","Electrical","electrical","1","yes","yes","no"
"Destin, FL","destin-fl","Lawn care","lawn-care","1","yes","yes","no"
"Destin, FL","destin-fl","Pest control","pest-control","1","yes","yes","no"
"Destin, FL","destin-fl","House cleaning","house-cleaning","1","yes","yes","no"
"Destin, FL","destin-fl","Landscaping","landscaping","1","yes","yes","no"
"Destin, FL","destin-fl","Tree service","tree-service","1","yes","yes","no"
"Destin, FL","destin-fl","Garage door repair","garage-door-repair","1","yes","yes","no"
"Destin, FL","destin-fl","Locksmith","locksmith","1","yes","yes","no"
"Destin, FL","destin-fl","Appliance repair","appliance-repair","1","yes","yes","no"
"Destin, FL","destin-fl","Movers","movers","1","yes","yes","no"
"Destin, FL","destin-fl","Handyman","handyman","1","yes","yes","no"
"Destin, FL","destin-fl","Painting","painting","1","yes","yes","no"
"Destin, FL","destin-fl","Pool service","pool-service","1","yes","yes","no"
"Destin, FL","destin-fl","Kitchen & bath remodeling","kitchen-bath-remodeling","1","yes","yes","no"
"Destin, FL","destin-fl","Flooring","flooring","1","yes","yes","no"
"Destin, FL","destin-fl","Towing","towing","1","yes","yes","no"
"Destin, FL","destin-fl","Auto body & collision","auto-body-collision","1","yes","yes","no"
"Destin, FL","destin-fl","Fence builders","fence-builders","1","yes","yes","no"
"Destin, FL","destin-fl","Junk removal","junk-removal","1","yes","yes","no"
"Destin, FL","destin-fl","Water damage & mold remediation","water-damage-mold-remediation","1","yes","yes","no"
"Destin, FL","destin-fl","Concrete & driveways","concrete","1","yes","yes","no"
"Destin, FL","destin-fl","Gutters","gutters","1","yes","yes","no"
"Destin, FL","destin-fl","Carpet cleaning","carpet-cleaning","1","yes","yes","no"
"Destin, FL","destin-fl","Pressure washing","pressure-washing","1","yes","yes","no"
"Destin, FL","destin-fl","Septic services","septic-services","1","yes","yes","no"
"Destin, FL","destin-fl","Pool installation","pool-installation","1","yes","yes","no"
"Destin, FL","destin-fl","Window tinting","window-tinting","1","yes","yes","no"
